#x	Mode 1: z	Mode 2: z	Mode 3: z	Mode 4: z	Mode 5: z	Mode 6: z	Mode 7: z	Mode 8: z	Mode 9: z	Mode 10: z	Mode 11: z	Mode 12: z	Mode 13: z	Mode 14: z	Mode 15: z	Mode 16: z	Mode 17: z	Mode 18: z	Mode 19: z	Mode 20: z
0.22000000	0.01530000	-0.06954000	-0.12131000	0.09819000	-0.05487000	0.00860000	0.02592000	-0.04058000	0.03528000	-0.01667000	-0.00523000	0.02110000	0.00000000	-0.02557000	0.01862000	-0.00480000	-0.00922000	0.00000000	0.01757000	-0.01744000
0.22667000	0.01619000	-0.07266000	-0.12434000	0.09711000	-0.04982000	0.00175000	0.03144000	-0.04224000	0.03234000	-0.01054000	-0.01166000	0.02482000	0.00000000	-0.02485000	0.01383000	0.00182000	-0.01457000	0.00000000	0.01917000	-0.01456000
0.23333000	0.01709000	-0.07576000	-0.12711000	0.09558000	-0.04436000	-0.00510000	0.03637000	-0.04285000	0.02837000	-0.00399000	-0.01754000	0.02712000	0.00000000	-0.02245000	0.00794000	0.00827000	-0.01840000	0.00000000	0.01851000	-0.00976000
0.24000000	0.01802000	-0.07885000	-0.12962000	0.09358000	-0.03854000	-0.01186000	0.04061000	-0.04240000	0.02351000	0.00272000	-0.02257000	0.02785000	0.00000000	-0.01852000	0.00142000	0.01397000	-0.02032000	0.00000000	0.01567000	-0.00366000
0.24667000	0.01897000	-0.08192000	-0.13185000	0.09113000	-0.03241000	-0.01844000	0.04409000	-0.04090000	0.01790000	0.00932000	-0.02652000	0.02698000	0.00000000	-0.01333000	-0.00521000	0.01839000	-0.02012000	0.00000000	0.01097000	0.00292000
0.25333000	0.01994000	-0.08497000	-0.13379000	0.08824000	-0.02602000	-0.02477000	0.04675000	-0.03839000	0.01172000	0.01556000	-0.02919000	0.02455000	0.00000000	-0.00724000	-0.01143000	0.02113000	-0.01782000	0.00000000	0.00499000	0.00911000
0.26000000	0.02094000	-0.08799000	-0.13544000	0.08492000	-0.01943000	-0.03075000	0.04853000	-0.03494000	0.00517000	0.02119000	-0.03046000	0.02071000	0.00000000	-0.00065000	-0.01674000	0.02195000	-0.01366000	0.00000000	-0.00159000	0.01411000
0.26667000	0.02195000	-0.09098000	-0.13678000	0.08118000	-0.01269000	-0.03632000	0.04941000	-0.03062000	-0.00155000	0.02598000	-0.03026000	0.01567000	0.00000000	0.00598000	-0.02073000	0.02075000	-0.00808000	0.00000000	-0.00797000	0.01722000
0.27333000	0.02298000	-0.09393000	-0.13781000	0.07705000	-0.00585000	-0.04139000	0.04938000	-0.02554000	-0.00822000	0.02975000	-0.02861000	0.00973000	0.00000000	0.01221000	-0.02307000	0.01766000	-0.00166000	0.00000000	-0.01342000	0.01805000
0.28000000	0.02403000	-0.09683000	-0.13852000	0.07253000	0.00101000	-0.04590000	0.04842000	-0.01984000	-0.01463000	0.03235000	-0.02559000	0.00324000	0.00000000	0.01760000	-0.02358000	0.01296000	0.00494000	0.00000000	-0.01729000	0.01650000
0.28667000	0.02510000	-0.09968000	-0.13892000	0.06766000	0.00785000	-0.04980000	0.04657000	-0.01364000	-0.02058000	0.03367000	-0.02133000	-0.00345000	0.00000000	0.02180000	-0.02222000	0.00707000	0.01102000	0.00000000	-0.01911000	0.01275000
0.29333000	0.02619000	-0.10249000	-0.13898000	0.06246000	0.01461000	-0.05303000	0.04385000	-0.00710000	-0.02588000	0.03367000	-0.01605000	-0.00994000	0.00000000	0.02451000	-0.01911000	0.00054000	0.01595000	0.00000000	-0.01868000	0.00732000
0.30000000	0.02730000	-0.10523000	-0.13872000	0.05694000	0.02122000	-0.05555000	0.04031000	-0.00039000	-0.03037000	0.03234000	-0.00999000	-0.01585000	0.00000000	0.02556000	-0.01448000	-0.00604000	0.01923000	0.00000000	-0.01605000	0.00091000
0.30667000	0.02842000	-0.10791000	-0.13813000	0.05115000	0.02763000	-0.05732000	0.03603000	0.00633000	-0.03389000	0.02973000	-0.00346000	-0.02085000	0.00000000	0.02487000	-0.00869000	-0.01207000	0.02049000	0.00000000	-0.01152000	-0.00561000
0.31333000	0.02957000	-0.11053000	-0.13720000	0.04511000	0.03378000	-0.05834000	0.03108000	0.01289000	-0.03635000	0.02596000	0.00324000	-0.02465000	0.00000000	0.02248000	-0.00223000	-0.01700000	0.01962000	0.00000000	-0.00563000	-0.01139000
0.32000000	0.03073000	-0.11308000	-0.13595000	0.03885000	0.03962000	-0.05857000	0.02555000	0.01915000	-0.03766000	0.02116000	0.00979000	-0.02703000	0.00000000	0.01857000	0.00442000	-0.02038000	0.01670000	0.00000000	0.00092000	-0.01567000
