#x	Mode 1: Theta Y	Mode 2: Theta Y	Mode 3: Theta Y	Mode 4: Theta Y	Mode 5: Theta Y	Mode 6: Theta Y	Mode 7: Theta Y	Mode 8: Theta Y	Mode 9: Theta Y	Mode 10: Theta Y	Mode 11: Theta Y	Mode 12: Theta Y	Mode 13: Theta Y	Mode 14: Theta Y	Mode 15: Theta Y	Mode 16: Theta Y	Mode 17: Theta Y	Mode 18: Theta Y	Mode 19: Theta Y	Mode 20: Theta Y
0.87273000	-0.03725000	0.11812000	-0.14641000	0.09886000	0.00000000	-0.02970000	-0.03711000	0.09579000	-0.14228000	0.00000000	0.17480000	0.00000000	-0.19145000	0.19355000	0.00000000	-0.18212000	0.15825000	0.00000000	-0.12522000	0.08446000
0.87896000	-0.03729000	0.11915000	-0.15199000	0.11050000	0.00000000	-0.04665000	-0.01622000	0.07326000	-0.12095000	0.00000000	0.15760000	0.00000000	-0.18129000	0.19280000	0.00000000	-0.19260000	0.18092000	0.00000000	-0.16037000	0.13130000
0.88519000	-0.03732000	0.12013000	-0.15730000	0.12173000	0.00000000	-0.06334000	0.00494000	0.04946000	-0.09690000	0.00000000	0.13588000	0.00000000	-0.16462000	0.18356000	0.00000000	-0.19283000	0.19216000	0.00000000	-0.18361000	0.16680000
0.89143000	-0.03736000	0.12105000	-0.16233000	0.13251000	0.00000000	-0.07965000	0.02614000	0.02475000	-0.07063000	0.00000000	0.11021000	0.00000000	-0.14198000	0.16617000	0.00000000	-0.18276000	0.19122000	0.00000000	-0.19322000	0.18794000
0.89766000	-0.03739000	0.12191000	-0.16708000	0.14281000	0.00000000	-0.09547000	0.04718000	-0.00050000	-0.04266000	0.00000000	0.08125000	0.00000000	-0.11410000	0.14130000	0.00000000	-0.16281000	0.17805000	0.00000000	-0.18838000	0.19281000
0.90390000	-0.03742000	0.12272000	-0.17154000	0.15257000	0.00000000	-0.11070000	0.06781000	-0.02591000	-0.01356000	0.00000000	0.04976000	0.00000000	-0.08187000	0.10992000	0.00000000	-0.13389000	0.15328000	0.00000000	-0.16921000	0.18073000
0.91013000	-0.03745000	0.12347000	-0.17571000	0.16177000	0.00000000	-0.12523000	0.08784000	-0.05110000	0.01609000	0.00000000	0.01653000	0.00000000	-0.04633000	0.07325000	0.00000000	-0.09735000	0.11827000	0.00000000	-0.13691000	0.15250000
0.91636000	-0.03748000	0.12415000	-0.17957000	0.17037000	0.00000000	-0.13897000	0.10706000	-0.07572000	0.04571000	0.00000000	-0.01757000	0.00000000	-0.00863000	0.03274000	0.00000000	-0.05489000	0.07494000	0.00000000	-0.09348000	0.11008000
0.92260000	-0.03750000	0.12478000	-0.18312000	0.17834000	0.00000000	-0.15183000	0.12526000	-0.09939000	0.07472000	0.00000000	-0.05169000	0.00000000	0.03004000	-0.01005000	0.00000000	-0.00847000	0.02561000	0.00000000	-0.04164000	0.05649000
0.92883000	-0.03752000	0.12536000	-0.18635000	0.18566000	0.00000000	-0.16372000	0.14228000	-0.12179000	0.10256000	0.00000000	-0.08497000	0.00000000	0.06849000	-0.05350000	0.00000000	0.03978000	-0.02704000	0.00000000	0.01535000	-0.00441000
0.93506000	-0.03754000	0.12587000	-0.18927000	0.19229000	0.00000000	-0.17458000	0.15793000	-0.14260000	0.12870000	0.00000000	-0.11662000	0.00000000	0.10554000	-0.09599000	0.00000000	0.08774000	-0.08029000	0.00000000	0.07407000	-0.06842000
0.93506000	-0.03754000	0.12587000	-0.18927000	0.19229000	0.00000000	-0.17458000	0.15793000	-0.14260000	0.12870000	0.00000000	-0.11662000	0.00000000	0.10554000	-0.09599000	0.00000000	0.08774000	-0.08029000	0.00000000	0.07407000	-0.06842000
1.00000000	-0.03754000	0.12587000	-0.18927000	0.19229000	0.00000000	-0.17458000	0.15793000	-0.14260000	0.12870000	0.00000000	-0.11662000	0.00000000	0.10554000	-0.09599000	0.00000000	0.08774000	-0.08029000	0.00000000	0.07407000	-0.06842000
