#x	Mode 1: x	Mode 2: x	Mode 3: x	Mode 4: x	Mode 5: x	Mode 6: x	Mode 7: x	Mode 8: x	Mode 9: x	Mode 10: x	Mode 11: x	Mode 12: x	Mode 13: x	Mode 14: x	Mode 15: x	Mode 16: x	Mode 17: x	Mode 18: x	Mode 19: x	Mode 20: x
0.09974000	0.00000000	0.00000000	0.00000000	0.00000000	0.02613000	0.00000000	0.00000000	0.00000000	0.00000000	0.07602000	0.00000000	0.00000000	0.00000000	0.00000000	0.12924000	0.00000000	0.00000000	0.17126000	0.00000000	0.00000000
0.10597000	0.00000000	0.00000000	0.00000000	0.00000000	0.02775000	0.00000000	0.00000000	0.00000000	0.00000000	0.08051000	0.00000000	0.00000000	0.00000000	0.00000000	0.13582000	0.00000000	0.00000000	0.17754000	0.00000000	0.00000000
0.11221000	0.00000000	0.00000000	0.00000000	0.00000000	0.02938000	0.00000000	0.00000000	0.00000000	0.00000000	0.08495000	0.00000000	0.00000000	0.00000000	0.00000000	0.14213000	0.00000000	0.00000000	0.18309000	0.00000000	0.00000000
0.11844000	0.00000000	0.00000000	0.00000000	0.00000000	0.03100000	0.00000000	0.00000000	0.00000000	0.00000000	0.08933000	0.00000000	0.00000000	0.00000000	0.00000000	0.14817000	0.00000000	0.00000000	0.18788000	0.00000000	0.00000000
0.12468000	0.00000000	0.00000000	0.00000000	0.00000000	0.03262000	0.00000000	0.00000000	0.00000000	0.00000000	0.09367000	0.00000000	0.00000000	0.00000000	0.00000000	0.15393000	0.00000000	0.00000000	0.19190000	0.00000000	0.00000000
0.13091000	0.00000000	0.00000000	0.00000000	0.00000000	0.03424000	0.00000000	0.00000000	0.00000000	0.00000000	0.09794000	0.00000000	0.00000000	0.00000000	0.00000000	0.15939000	0.00000000	0.00000000	0.19513000	0.00000000	0.00000000
0.13714000	0.00000000	0.00000000	0.00000000	0.00000000	0.03585000	0.00000000	0.00000000	0.00000000	0.00000000	0.10216000	0.00000000	0.00000000	0.00000000	0.00000000	0.16454000	0.00000000	0.00000000	0.19755000	0.00000000	0.00000000
0.14338000	0.00000000	0.00000000	0.00000000	0.00000000	0.03747000	0.00000000	0.00000000	0.00000000	0.00000000	0.10632000	0.00000000	0.00000000	0.00000000	0.00000000	0.16937000	0.00000000	0.00000000	0.19916000	0.00000000	0.00000000
0.14961000	0.00000000	0.00000000	0.00000000	0.00000000	0.03908000	0.00000000	0.00000000	0.00000000	0.00000000	0.11042000	0.00000000	0.00000000	0.00000000	0.00000000	0.17388000	0.00000000	0.00000000	0.19994000	0.00000000	0.00000000
0.15584000	0.00000000	0.00000000	0.00000000	0.00000000	0.04069000	0.00000000	0.00000000	0.00000000	0.00000000	0.11445000	0.00000000	0.00000000	0.00000000	0.00000000	0.17805000	0.00000000	0.00000000	0.19991000	0.00000000	0.00000000
0.16208000	0.00000000	0.00000000	0.00000000	0.00000000	0.04230000	0.00000000	0.00000000	0.00000000	0.00000000	0.11841000	0.00000000	0.00000000	0.00000000	0.00000000	0.18188000	0.00000000	0.00000000	0.19904000	0.00000000	0.00000000
0.16831000	0.00000000	0.00000000	0.00000000	0.00000000	0.04391000	0.00000000	0.00000000	0.00000000	0.00000000	0.12231000	0.00000000	0.00000000	0.00000000	0.00000000	0.18535000	0.00000000	0.00000000	0.19736000	0.00000000	0.00000000
0.17455000	0.00000000	0.00000000	0.00000000	0.00000000	0.04551000	0.00000000	0.00000000	0.00000000	0.00000000	0.12613000	0.00000000	0.00000000	0.00000000	0.00000000	0.18847000	0.00000000	0.00000000	0.19486000	0.00000000	0.00000000
